scope,Antibiotic,n_samples,n_susceptible,n_resistant,n_positive,n_negative,positive_label,positive_fraction,feature_count,zero_feature_rows,roc_auc,average_precision,accuracy,precision,recall,mean_fold_roc_auc,status
all,ciprofloxacin,6550,5951,599,599,5951,resistant,0.09145038167938932,500,0,0.998248354887115,0.9958265713827683,0.997557251908397,0.9834162520729685,0.989983305509182,0.9987520849649684,trained
all,chloramphenicol,6730,6146,584,584,6146,resistant,0.08677563150074294,520,0,0.9951159903534542,0.9847874668351326,0.9965824665676077,0.9811320754716981,0.9794520547945206,0.9952129232244813,trained
all,trimethoprim-sulfamethoxazole,6808,6494,314,314,6494,resistant,0.046122209165687426,556,0,0.9931982780773628,0.9694124033594107,0.9952996474735605,0.9298780487804879,0.9713375796178344,0.9937990911443384,trained
all,tetracycline,6780,1941,4839,4839,1941,resistant,0.713716814159292,544,0,0.9922449818733011,0.9960768006422709,0.9905604719764012,0.993591068844325,0.9931804091754495,0.9925542737442914,trained
all,nalidixic acid,6789,5974,815,815,5974,resistant,0.12004713507143909,520,0,0.9919619989278694,0.9853936605128146,0.9952864928560907,0.978021978021978,0.9828220858895705,0.9925481838434671,trained
all,sulfisoxazole,6558,3845,2713,2713,3845,resistant,0.4136931991460811,524,0,0.9919297683886811,0.9898044342162814,0.9874961878621531,0.9856035437430787,0.9841503870254331,0.9924828162671414,trained
all,cefoxitin,6715,5917,798,798,5917,resistant,0.11883842144452718,544,0,0.9890643670186112,0.9729622732465598,0.9940431868950111,0.9713930348258707,0.9786967418546366,0.9898166456920086,trained
all,ampicillin,6810,4370,2440,2440,4370,resistant,0.35829662261380324,556,0,0.9890592058371159,0.9857139590854914,0.9861967694566813,0.986318407960199,0.975,0.9896230352252692,trained
all,ceftiofur,3562,2854,708,708,2854,resistant,0.19876473891072433,384,0,0.988985624299724,0.9799355064462685,0.9929814710836609,0.9885550786838341,0.9759887005649718,0.9894611554076395,trained
all,ceftriaxone,6807,5594,1213,1213,5594,resistant,0.17819891288379608,552,0,0.9885450227705399,0.977307344185439,0.9935360658146026,0.9899413243922883,0.9736191261335532,0.988867573827141,trained
all,amoxicillin-clavulanic acid,6159,5262,897,897,5262,resistant,0.14564052605942523,512,0,0.9878938918401513,0.9769164049136014,0.9902581587920117,0.9686450167973124,0.9643255295429208,0.9883799827013515,trained
all,gentamicin,6459,5575,884,884,5575,resistant,0.13686329153119678,540,0,0.985628512874622,0.9552749537537197,0.9784796408112711,0.8852119958634953,0.9683257918552036,0.9863061516971033,trained
all,kanamycin,2772,2304,468,468,2304,resistant,0.16883116883116883,280,0,0.9761340366809117,0.9486324127256138,0.9816017316017316,0.9602649006622517,0.9294871794871795,0.9771462526641892,trained
all,streptomycin,6050,2850,3200,3200,2850,resistant,0.5289256198347108,512,0,0.9691084978070177,0.964461864098946,0.9446280991735537,0.9249480866211807,0.974375,0.969546875,trained
