scope,Antibiotic,rank,feature,feature_base,feature_type,importance
all,amoxicillin-clavulanic acid,1,blacmy_2_coverage,blacmy_2,coverage,0.4646117389202118
all,amoxicillin-clavulanic acid,2,blacmy_2_identity,blacmy_2,identity,0.22373232245445251
all,amoxicillin-clavulanic acid,3,blacmy_identity,blacmy,identity,0.038210343569517136
all,amoxicillin-clavulanic acid,4,ant_2_ia_coverage,ant_2_ia,coverage,0.024820156395435333
all,amoxicillin-clavulanic acid,5,blacmy_coverage,blacmy,coverage,0.02051921933889389
all,amoxicillin-clavulanic acid,6,ant_2_ia_identity,ant_2_ia,identity,0.014333372004330158
all,amoxicillin-clavulanic acid,7,blaher_3_lineage_match,blaher_3,lineage_match,0.012521189637482166
all,amoxicillin-clavulanic acid,8,aac_6_ib3_coverage,aac_6_ib3,coverage,0.00851494912058115
all,amoxicillin-clavulanic acid,9,blaher_3_coverage,blaher_3,coverage,0.007590941619127989
all,amoxicillin-clavulanic acid,10,blaher_identity,blaher,identity,0.007284415420144796
all,amoxicillin-clavulanic acid,11,blatem_coverage,blatem,coverage,0.007169725839048624
all,amoxicillin-clavulanic acid,12,blatem_1_coverage,blatem_1,coverage,0.006374449469149113
all,amoxicillin-clavulanic acid,13,blaher_3_identity,blaher_3,identity,0.006025183945894241
all,amoxicillin-clavulanic acid,14,gyra_d87y_identity,gyra_d87y,identity,0.005943671800196171
all,amoxicillin-clavulanic acid,15,gyra_s83f_identity,gyra_s83f,identity,0.005518559366464615
all,amoxicillin-clavulanic acid,16,gyra_s83f_coverage,gyra_s83f,coverage,0.005372581072151661
all,amoxicillin-clavulanic acid,17,blatem_1_identity,blatem_1,identity,0.004798126872628927
all,amoxicillin-clavulanic acid,18,sul1_identity,sul1,identity,0.004593395162373781
all,amoxicillin-clavulanic acid,19,gyra_d87y_coverage,gyra_d87y,coverage,0.0045304689556360245
all,amoxicillin-clavulanic acid,20,blaher_coverage,blaher,coverage,0.004206444602459669
all,ampicillin,1,blatem_1_lineage_match,blatem_1,lineage_match,0.19141173362731934
all,ampicillin,2,blatem_1_identity,blatem_1,identity,0.12053987383842468
all,ampicillin,3,blacmy_2_coverage,blacmy_2,coverage,0.1125180572271347
all,ampicillin,4,blacmy_2_identity,blacmy_2,identity,0.1070241630077362
all,ampicillin,5,blatem_1_coverage,blatem_1,coverage,0.07970412075519562
all,ampicillin,6,blactx_m_65_coverage,blactx_m_65,coverage,0.07058107852935791
all,ampicillin,7,blactx_m_65_identity,blactx_m_65,identity,0.059993963688611984
all,ampicillin,8,blacarb_2_lineage_match,blacarb_2,lineage_match,0.04349178075790405
all,ampicillin,9,blaher_3_identity,blaher_3,identity,0.034122686833143234
all,ampicillin,10,blacarb_2_coverage,blacarb_2,coverage,0.02882523648440838
all,ampicillin,11,blaher_3_lineage_match,blaher_3,lineage_match,0.028025416657328606
all,ampicillin,12,blacarb_2_identity,blacarb_2,identity,0.022943025454878807
all,ampicillin,13,blaher_3_coverage,blaher_3,coverage,0.021885577589273453
all,ampicillin,14,blacmy_identity,blacmy,identity,0.01143385749310255
all,ampicillin,15,blacmy_coverage,blacmy,coverage,0.007475349586457014
all,ampicillin,16,flor_coverage,flor,coverage,0.004110537935048342
all,ampicillin,17,blaher_identity,blaher,identity,0.0039426302537322044
all,ampicillin,18,blaher_lineage_match,blaher,lineage_match,0.002627727808430791
all,ampicillin,19,blaher_coverage,blaher,coverage,0.002572606550529599
all,ampicillin,20,blatem_coverage,blatem,coverage,0.0024408611934632063
all,cefoxitin,1,blacmy_2_identity,blacmy_2,identity,0.5235097408294678
all,cefoxitin,2,blacmy_2_coverage,blacmy_2,coverage,0.22077308595180511
all,cefoxitin,3,blacmy_identity,blacmy,identity,0.031067615374922752
all,cefoxitin,4,aada7_coverage,aada7,coverage,0.021660422906279564
all,cefoxitin,5,fosa7_8_coverage,fosa7_8,coverage,0.017299804836511612
all,cefoxitin,6,sul2_coverage,sul2,coverage,0.014773954637348652
all,cefoxitin,7,blacmy_coverage,blacmy,coverage,0.011271024122834206
all,cefoxitin,8,cmla5_identity,cmla5,identity,0.010099399834871292
all,cefoxitin,9,aac_3_iva_coverage,aac_3_iva,coverage,0.007578545715659857
all,cefoxitin,10,dfra1_identity,dfra1,identity,0.006160463206470013
all,cefoxitin,11,arma_coverage,arma,coverage,0.005806487053632736
all,cefoxitin,12,bladha_coverage,bladha,coverage,0.005534985568374395
all,cefoxitin,13,aac_6_ib3_coverage,aac_6_ib3,coverage,0.005297405645251274
all,cefoxitin,14,blacmy_4_coverage,blacmy_4,coverage,0.0050903139635920525
all,cefoxitin,15,dfra1_coverage,dfra1,coverage,0.004639487247914076
all,cefoxitin,16,mph_g_coverage,mph_g,coverage,0.004544982686638832
all,cefoxitin,17,tet_a_coverage,tet_a,coverage,0.004418970551341772
all,cefoxitin,18,gyra_s83f_identity,gyra_s83f,identity,0.004017739091068506
all,cefoxitin,19,aac_3_iie_coverage,aac_3_iie,coverage,0.003987031988799572
all,cefoxitin,20,gyrb_s464y_coverage,gyrb_s464y,coverage,0.003887087805196643
all,ceftiofur,1,blacmy_2_coverage,blacmy_2,coverage,0.37989670038223267
all,ceftiofur,2,blacmy_2_identity,blacmy_2,identity,0.36624807119369507
all,ceftiofur,3,blacmy_identity,blacmy,identity,0.030722154304385185
all,ceftiofur,4,blacmy_coverage,blacmy,coverage,0.029338601976633072
all,ceftiofur,5,blactx_m_65_coverage,blactx_m_65,coverage,0.014550169929862022
all,ceftiofur,6,blactx_m_65_identity,blactx_m_65,identity,0.0131507134065032
all,ceftiofur,7,fosa7_8_coverage,fosa7_8,coverage,0.008274552412331104
all,ceftiofur,8,blactx_m_1_identity,blactx_m_1,identity,0.008117525838315487
all,ceftiofur,9,blashv_2a_coverage,blashv_2a,coverage,0.0075911409221589565
all,ceftiofur,10,sul2_identity,sul2,identity,0.0073476992547512054
all,ceftiofur,11,blashv_2a_identity,blashv_2a,identity,0.007168887183070183
all,ceftiofur,12,blactx_m_1_coverage,blactx_m_1,coverage,0.00702643021941185
all,ceftiofur,13,aph_3_ia_identity,aph_3_ia,identity,0.005220601335167885
all,ceftiofur,14,gyra_s83f_identity,gyra_s83f,identity,0.0045232996344566345
all,ceftiofur,15,blatem_identity,blatem,identity,0.004250998143106699
all,ceftiofur,16,fosa7_2_identity,fosa7_2,identity,0.003831189125776291
all,ceftiofur,17,gyra_d87y_identity,gyra_d87y,identity,0.0037907103542238474
all,ceftiofur,18,aph_4_ia_coverage,aph_4_ia,coverage,0.0035938224755227566
all,ceftiofur,19,qnrb19_coverage,qnrb19,coverage,0.0035826596431434155
all,ceftiofur,20,aada2_identity,aada2,identity,0.003459845669567585
all,ceftriaxone,1,blacmy_2_coverage,blacmy_2,coverage,0.179985910654068
all,ceftriaxone,2,blacmy_2_identity,blacmy_2,identity,0.16133840382099152
all,ceftriaxone,3,blactx_m_65_identity,blactx_m_65,identity,0.16021928191184998
all,ceftriaxone,4,blactx_m_65_coverage,blactx_m_65,coverage,0.15855945646762848
all,ceftriaxone,5,gyra_d87y_identity,gyra_d87y,identity,0.046384505927562714
all,ceftriaxone,6,blactx_m_15_identity,blactx_m_15,identity,0.026921000331640244
all,ceftriaxone,7,blashv_12_identity,blashv_12,identity,0.015340798534452915
all,ceftriaxone,8,blactx_m_15_coverage,blactx_m_15,coverage,0.015323961153626442
all,ceftriaxone,9,dfra19_coverage,dfra19,coverage,0.014136160723865032
all,ceftriaxone,10,cata1_coverage,cata1,coverage,0.013359184376895428
all,ceftriaxone,11,blacmy_identity,blacmy,identity,0.012748433277010918
all,ceftriaxone,12,blacmy_coverage,blacmy,coverage,0.011747235432267189
all,ceftriaxone,13,sul2_coverage,sul2,coverage,0.010824468918144703
all,ceftriaxone,14,blashv_12_coverage,blashv_12,coverage,0.010763553902506828
all,ceftriaxone,15,blactx_m_1_identity,blactx_m_1,identity,0.010153207927942276
all,ceftriaxone,16,parc_s80i_identity,parc_s80i,identity,0.009653412736952305
all,ceftriaxone,17,gyra_s83y_identity,gyra_s83y,identity,0.0077955820597708225
all,ceftriaxone,18,fosa7_8_coverage,fosa7_8,coverage,0.007588517386466265
all,ceftriaxone,19,aac_6_ib3_identity,aac_6_ib3,identity,0.007182764820754528
all,ceftriaxone,20,blactx_m_1_coverage,blactx_m_1,coverage,0.007074207998812199
all,chloramphenicol,1,flor_lineage_match,flor,lineage_match,0.4277830123901367
all,chloramphenicol,2,flor_coverage,flor,coverage,0.22992679476737976
all,chloramphenicol,3,flor_identity,flor,identity,0.11691803485155106
all,chloramphenicol,4,cmla1_lineage_match,cmla1,lineage_match,0.02093135379254818
all,chloramphenicol,5,cmla1_coverage,cmla1,coverage,0.012585972435772419
all,chloramphenicol,6,cata1_coverage,cata1,coverage,0.011681370437145233
all,chloramphenicol,7,aac_3_iva_coverage,aac_3_iva,coverage,0.011359073221683502
all,chloramphenicol,8,aada2_identity,aada2,identity,0.010977827943861485
