scope,Antibiotic,n_samples,n_susceptible,n_resistant,n_positive,n_negative,positive_label,positive_fraction,feature_count,zero_feature_rows,roc_auc,average_precision,accuracy,precision,recall,mean_fold_roc_auc,status
broad,ciprofloxacin,6550,5951,599,599,5951,resistant,0.09145038167938932,39,5932,0.997118089326607,0.9925142433407699,0.9974045801526717,0.9801980198019802,0.991652754590985,0.9981959831791659,trained
broad,chloramphenicol,6730,6146,584,584,6146,resistant,0.08677563150074294,33,6147,0.9927283142170651,0.983968760830695,0.9980683506686479,0.9930915371329879,0.9845890410958904,0.9938336548168658,trained
broad,trimethoprim-sulfamethoxazole,6808,6494,314,314,6494,resistant,0.046122209165687426,45,3952,0.991754269987583,0.9573007553808354,0.9970622796709753,0.9681528662420382,0.9681528662420382,0.9930663810758311,trained
broad,ceftriaxone,6807,5594,1213,1213,5594,resistant,0.17819891288379608,75,4365,0.9887704291578453,0.9784855033631001,0.9942706037902159,0.9916247906197655,0.9760923330585326,0.9891449291448515,trained
broad,ceftiofur,3562,2854,708,708,2854,resistant,0.19876473891072433,39,2028,0.9880176103318171,0.9775588092265153,0.9932622122403144,0.9899713467048711,0.9759887005649718,0.9886422108231411,trained
broad,tetracycline,6780,1941,4839,4839,1941,resistant,0.713716814159292,21,1924,0.9874775073172752,0.9917003797984842,0.9904129793510325,0.9933856965688301,0.9931804091754495,0.9888027920010269,trained
broad,nalidixic acid,6789,5974,815,815,5974,resistant,0.12004713507143909,60,5943,0.9873528644576395,0.9811229451064425,0.9935189276771248,0.966142684401451,0.9803680981595092,0.9905947411244,trained
broad,cefoxitin,6715,5917,798,798,5917,resistant,0.11883842144452718,75,4352,0.9860007886879613,0.9641705109212851,0.995234549516009,0.9835858585858586,0.9761904761904762,0.988009489676761,trained
broad,amoxicillin-clavulanic acid,6159,5262,897,897,5262,resistant,0.14564052605942523,57,4351,0.9854275855961444,0.9689083789389207,0.9902581587920117,0.9804822043628014,0.9520624303232998,0.9875899479588117,trained
broad,sulfisoxazole,6558,3845,2713,2713,3845,resistant,0.4136931991460811,9,3844,0.9847328544306012,0.9740498292162959,0.9876486733760292,0.9856088560885609,0.9845189826760045,0.9864885187084059,trained
broad,ampicillin,6810,4370,2440,2440,4370,resistant,0.35829662261380324,75,4367,0.9839469932850659,0.9802118229358364,0.9863436123348017,0.9867274989630859,0.975,0.9863051918820572,trained
broad,gentamicin,6459,5575,884,884,5575,resistant,0.13686329153119678,111,2427,0.9834618428261267,0.9541729476140892,0.9789441089952005,0.8871635610766045,0.9694570135746606,0.9845129911258208,trained
broad,kanamycin,2772,2304,468,468,2304,resistant,0.16883116883116883,60,1159,0.9627691343186134,0.9429948525376655,0.9848484848484849,0.9797297297297297,0.9294871794871795,0.9667784314808147,trained
broad,streptomycin,6050,2850,3200,3200,2850,resistant,0.5289256198347108,111,2276,0.9595200109649125,0.9510086673075349,0.9428099173553719,0.9214412285883048,0.975,0.9614777960526316,trained
