scope,Antibiotic,rank,feature,feature_base,feature_type,importance
broad,amoxicillin-clavulanic acid,1,blacmy_2_identity,blacmy_2,identity,0.4926689863204956
broad,amoxicillin-clavulanic acid,2,blacmy_2_coverage,blacmy_2,coverage,0.3962850272655487
broad,amoxicillin-clavulanic acid,3,blacmy_coverage,blacmy,coverage,0.020428691059350967
broad,amoxicillin-clavulanic acid,4,blacmy_identity,blacmy,identity,0.016830557957291603
broad,amoxicillin-clavulanic acid,5,blatem_1_coverage,blatem_1,coverage,0.011054272763431072
broad,amoxicillin-clavulanic acid,6,blandm_1_coverage,blandm_1,coverage,0.009867604821920395
broad,amoxicillin-clavulanic acid,7,blatem_1_identity,blatem_1,identity,0.006726638879626989
broad,amoxicillin-clavulanic acid,8,blactx_m_65_identity,blactx_m_65,identity,0.005550703965127468
broad,amoxicillin-clavulanic acid,9,blaher_identity,blaher,identity,0.005291415378451347
broad,amoxicillin-clavulanic acid,10,blaher_3_lineage_match,blaher_3,lineage_match,0.005249336361885071
broad,amoxicillin-clavulanic acid,11,blaher_3_coverage,blaher_3,coverage,0.0043890466913580894
broad,amoxicillin-clavulanic acid,12,blactx_m_65_coverage,blactx_m_65,coverage,0.004259745590388775
broad,amoxicillin-clavulanic acid,13,blacmy_4_coverage,blacmy_4,coverage,0.0038260826840996742
broad,amoxicillin-clavulanic acid,14,blaher_3_identity,blaher_3,identity,0.003697058418765664
broad,amoxicillin-clavulanic acid,15,bladha_coverage,bladha,coverage,0.0024305388797074556
broad,amoxicillin-clavulanic acid,16,blaher_coverage,blaher,coverage,0.0023776248563081026
broad,amoxicillin-clavulanic acid,17,blatem_coverage,blatem,coverage,0.0023750541731715202
broad,amoxicillin-clavulanic acid,18,blaher_lineage_match,blaher,lineage_match,0.0023546305019408464
broad,amoxicillin-clavulanic acid,19,blatem_1_lineage_match,blatem_1,lineage_match,0.0018070521764457226
broad,amoxicillin-clavulanic acid,20,blatem_identity,blatem,identity,0.0014486018335446715
broad,ampicillin,1,blactx_m_65_identity,blactx_m_65,identity,0.21259023249149323
broad,ampicillin,2,blatem_1_identity,blatem_1,identity,0.1403588354587555
broad,ampicillin,3,blacmy_2_coverage,blacmy_2,coverage,0.13399174809455872
broad,ampicillin,4,blatem_1_coverage,blatem_1,coverage,0.10450707376003265
broad,ampicillin,5,blactx_m_65_coverage,blactx_m_65,coverage,0.10201127827167511
broad,ampicillin,6,blacmy_2_identity,blacmy_2,identity,0.09983445703983307
broad,ampicillin,7,blaher_3_lineage_match,blaher_3,lineage_match,0.06325677782297134
broad,ampicillin,8,blaher_coverage,blaher,coverage,0.029780784621834755
broad,ampicillin,9,blaher_3_coverage,blaher_3,coverage,0.023782478645443916
broad,ampicillin,10,blacarb_2_coverage,blacarb_2,coverage,0.022271661087870598
broad,ampicillin,11,blaher_3_identity,blaher_3,identity,0.014508234336972237
broad,ampicillin,12,blatem_1_lineage_match,blatem_1,lineage_match,0.01432454027235508
broad,ampicillin,13,blacarb_2_identity,blacarb_2,identity,0.013676573522388935
broad,ampicillin,14,blacmy_coverage,blacmy,coverage,0.010673378594219685
broad,ampicillin,15,blacarb_2_lineage_match,blacarb_2,lineage_match,0.006040136329829693
broad,ampicillin,16,blacmy_identity,blacmy,identity,0.004225151613354683
broad,ampicillin,17,blatem_coverage,blatem,coverage,0.0015350248431786895
broad,ampicillin,18,blatem_lineage_match,blatem,lineage_match,0.001502816565334797
broad,ampicillin,19,blatem_identity,blatem,identity,0.0011289407266303897
broad,cefoxitin,1,blacmy_2_coverage,blacmy_2,coverage,0.5513116121292114
broad,cefoxitin,2,blacmy_2_identity,blacmy_2,identity,0.3690938353538513
broad,cefoxitin,3,blacmy_coverage,blacmy,coverage,0.02128511667251587
broad,cefoxitin,4,blandm_1_coverage,blandm_1,coverage,0.010635456070303917
broad,cefoxitin,5,bladha_coverage,bladha,coverage,0.009646715596318245
broad,cefoxitin,6,blacmy_4_coverage,blacmy_4,coverage,0.006943101063370705
broad,cefoxitin,7,blacarb_2_coverage,blacarb_2,coverage,0.005609366577118635
broad,cefoxitin,8,blatem_1_identity,blatem_1,identity,0.004757040645927191
broad,cefoxitin,9,blactx_m_65_coverage,blactx_m_65,coverage,0.004519817419350147
broad,cefoxitin,10,blacmy_identity,blacmy,identity,0.004038610029965639
broad,cefoxitin,11,blatem_identity,blatem,identity,0.002174857771024108
broad,cefoxitin,12,blatem_coverage,blatem,coverage,0.0018101996975019574
broad,cefoxitin,13,blatem_1_lineage_match,blatem_1,lineage_match,0.0016410646494477987
broad,cefoxitin,14,blatem_1_coverage,blatem_1,coverage,0.0014589190250262618
broad,cefoxitin,15,blaher_3_identity,blaher_3,identity,0.0012618886539712548
broad,cefoxitin,16,blactx_m_65_identity,blactx_m_65,identity,0.001169696799479425
broad,cefoxitin,17,blatem_lineage_match,blatem,lineage_match,0.0009783938294276595
broad,cefoxitin,18,blaher_3_coverage,blaher_3,coverage,0.000565241789445281
broad,cefoxitin,19,blacarb_2_identity,blacarb_2,identity,0.0005560576682910323
broad,cefoxitin,20,blaher_3_lineage_match,blaher_3,lineage_match,0.0005430387682281435
broad,ceftiofur,1,blacmy_2_identity,blacmy_2,identity,0.45712125301361084
broad,ceftiofur,2,blacmy_2_coverage,blacmy_2,coverage,0.3639095425605774
broad,ceftiofur,3,blacmy_coverage,blacmy,coverage,0.040338821709156036
broad,ceftiofur,4,blacmy_identity,blacmy,identity,0.03809081017971039
broad,ceftiofur,5,blacarb_2_coverage,blacarb_2,coverage,0.018024714663624763
broad,ceftiofur,6,blactx_m_65_coverage,blactx_m_65,coverage,0.01347493939101696
broad,ceftiofur,7,blactx_m_65_identity,blactx_m_65,identity,0.011644549667835236
broad,ceftiofur,8,blashv_2a_identity,blashv_2a,identity,0.011556902900338173
broad,ceftiofur,9,blactx_m_1_coverage,blactx_m_1,coverage,0.009648595936596394
broad,ceftiofur,10,blactx_m_1_identity,blactx_m_1,identity,0.009256407618522644
broad,ceftiofur,11,blaher_3_coverage,blaher_3,coverage,0.009168463759124279
broad,ceftiofur,12,blashv_2a_coverage,blashv_2a,coverage,0.008767153136432171
broad,ceftiofur,13,blatem_1_coverage,blatem_1,coverage,0.002629311056807637
broad,ceftiofur,14,blatem_identity,blatem,identity,0.0023859022185206413
broad,ceftiofur,15,blatem_coverage,blatem,coverage,0.00208079325966537
broad,ceftiofur,16,blatem_lineage_match,blatem,lineage_match,0.0007868447573855519
broad,ceftiofur,17,blatem_1_identity,blatem_1,identity,0.0006952222320251167
broad,ceftiofur,18,blatem_1_lineage_match,blatem_1,lineage_match,0.00034963953658007085
broad,ceftiofur,19,blaher_3_identity,blaher_3,identity,7.005722727626562e-05
broad,ceftriaxone,1,blactx_m_65_identity,blactx_m_65,identity,0.2846241295337677
broad,ceftriaxone,2,blacmy_2_coverage,blacmy_2,coverage,0.24407260119915009
broad,ceftriaxone,3,blacmy_2_identity,blacmy_2,identity,0.1824951171875
broad,ceftriaxone,4,blactx_m_65_coverage,blactx_m_65,coverage,0.157538041472435
broad,ceftriaxone,5,blacmy_coverage,blacmy,coverage,0.01725522056221962
broad,ceftriaxone,6,blactx_m_coverage,blactx_m,coverage,0.013348298147320747
broad,ceftriaxone,7,blactx_m_15_coverage,blactx_m_15,coverage,0.012462696060538292
broad,ceftriaxone,8,blactx_m_1_coverage,blactx_m_1,coverage,0.012234308756887913
broad,ceftriaxone,9,blaher_3_lineage_match,blaher_3,lineage_match,0.011309380643069744
broad,ceftriaxone,10,blactx_m_15_identity,blactx_m_15,identity,0.011044780723750591
broad,ceftriaxone,11,blactx_m_1_identity,blactx_m_1,identity,0.010341454297304153
broad,ceftriaxone,12,blashv_12_coverage,blashv_12,coverage,0.009946451522409916
broad,ceftriaxone,13,blaoxa_9_identity,blaoxa_9,identity,0.006717251613736153
broad,ceftriaxone,14,blashv_12_identity,blashv_12,identity,0.0064122299663722515
broad,ceftriaxone,15,blatem_1_identity,blatem_1,identity,0.005257750861346722
broad,ceftriaxone,16,blacmy_identity,blacmy,identity,0.004293017089366913
broad,ceftriaxone,17,blatem_identity,blatem,identity,0.0026292733382433653
broad,ceftriaxone,18,blatem_1_lineage_match,blatem_1,lineage_match,0.00205775978974998
broad,ceftriaxone,19,blatem_1_coverage,blatem_1,coverage,0.001836964744143188
broad,ceftriaxone,20,blatem_coverage,blatem,coverage,0.0015314072370529175
broad,chloramphenicol,1,flor_coverage,flor,coverage,0.46266844868659973
broad,chloramphenicol,2,flor_lineage_match,flor,lineage_match,0.2073802500963211
broad,chloramphenicol,3,flor_identity,flor,identity,0.09842856973409653
broad,chloramphenicol,4,cata1_lineage_match,cata1,lineage_match,0.05502518638968468
broad,chloramphenicol,5,cmla1_lineage_match,cmla1,lineage_match,0.03263382986187935
broad,chloramphenicol,6,cmla1_identity,cmla1,identity,0.02418740652501583
broad,chloramphenicol,7,cata1_identity,cata1,identity,0.023152153939008713
broad,chloramphenicol,8,cmla1_coverage,cmla1,coverage,0.019772963598370552
broad,chloramphenicol,9,cata1_coverage,cata1,coverage,0.016632670536637306
broad,chloramphenicol,10,cata2_coverage,cata2,coverage,0.015927201136946678
broad,chloramphenicol,11,cata2_identity,cata2,identity,0.013996167108416557
broad,chloramphenicol,12,cmla5_identity,cmla5,identity,0.00990300066769123
broad,chloramphenicol,13,cmla5_coverage,cmla5,coverage,0.009540647268295288
broad,chloramphenicol,14,cmla5_lineage_match,cmla5,lineage_match,0.005244256928563118
broad,chloramphenicol,15,cmla6_coverage,cmla6,coverage,0.004589746706187725
broad,chloramphenicol,16,cata2_lineage_match,cata2,lineage_match,0.0009174238075502217
broad,ciprofloxacin,1,gyra_d87y_lineage_match,gyra_d87y,lineage_match,0.5618220567703247
broad,ciprofloxacin,2,gyra_d87y_identity,gyra_d87y,identity,0.19584420323371887
broad,ciprofloxacin,3,gyra_d87y_coverage,gyra_d87y,coverage,0.12379364669322968
broad,ciprofloxacin,4,gyra_s83f_lineage_match,gyra_s83f,lineage_match,0.019265761598944664
broad,ciprofloxacin,5,qnrb19_coverage,qnrb19,coverage,0.010592716746032238
broad,ciprofloxacin,6,qnrb19_identity,qnrb19,identity,0.010443153791129589
broad,ciprofloxacin,7,gyra_s83y_identity,gyra_s83y,identity,0.009738356806337833
broad,ciprofloxacin,8,qnrs1_coverage,qnrs1,coverage,0.008872891776263714
broad,ciprofloxacin,9,gyra_s83f_coverage,gyra_s83f,coverage,0.007799073122441769
broad,ciprofloxacin,10,qnrs2_lineage_match,qnrs2,lineage_match,0.007021279074251652
broad,ciprofloxacin,11,gyra_s83y_coverage,gyra_s83y,coverage,0.005893658846616745
broad,ciprofloxacin,12,gyra_s83f_identity,gyra_s83f,identity,0.005623392760753632
broad,ciprofloxacin,13,qnrb19_lineage_match,qnrb19,lineage_match,0.0055726575665175915
broad,ciprofloxacin,14,qnrs2_identity,qnrs2,identity,0.005250896792858839
broad,ciprofloxacin,15,gyra_s83y_lineage_match,gyra_s83y,lineage_match,0.004719026852399111
broad,ciprofloxacin,16,qnrs2_coverage,qnrs2,coverage,0.004710041452199221
