scope,Antibiotic,rank,feature,feature_base,feature_type,importance
strict,amoxicillin-clavulanic acid,1,blatem_identity,blatem,identity,0.14679543673992157
strict,amoxicillin-clavulanic acid,2,blatem_1_lineage_match,blatem_1,lineage_match,0.12049765884876251
strict,amoxicillin-clavulanic acid,3,blatem_coverage,blatem,coverage,0.12005159258842468
strict,amoxicillin-clavulanic acid,4,blaher_identity,blaher,identity,0.10620003193616867
strict,amoxicillin-clavulanic acid,5,blatem_lineage_match,blatem,lineage_match,0.09680485725402832
strict,amoxicillin-clavulanic acid,6,blatem_1_coverage,blatem_1,coverage,0.09524589031934738
strict,amoxicillin-clavulanic acid,7,blaher_3_identity,blaher_3,identity,0.09112320095300674
strict,amoxicillin-clavulanic acid,8,blaher_3_coverage,blaher_3,coverage,0.07978775352239609
strict,amoxicillin-clavulanic acid,9,blatem_1_identity,blatem_1,identity,0.04590833559632301
strict,amoxicillin-clavulanic acid,10,blaher_3_lineage_match,blaher_3,lineage_match,0.044980116188526154
strict,amoxicillin-clavulanic acid,11,blaher_lineage_match,blaher,lineage_match,0.03746603801846504
strict,amoxicillin-clavulanic acid,12,blaher_coverage,blaher,coverage,0.015139085240662098
strict,ampicillin,1,blatem_1_lineage_match,blatem_1,lineage_match,0.2928098440170288
strict,ampicillin,2,blatem_1_identity,blatem_1,identity,0.2920359671115875
strict,ampicillin,3,blatem_1_coverage,blatem_1,coverage,0.22621354460716248
strict,ampicillin,4,blaher_3_lineage_match,blaher_3,lineage_match,0.055810339748859406
strict,ampicillin,5,blaher_3_identity,blaher_3,identity,0.02472756989300251
strict,ampicillin,6,blacarb_2_lineage_match,blacarb_2,lineage_match,0.024682844057679176
strict,ampicillin,7,blaher_3_coverage,blaher_3,coverage,0.016904445365071297
strict,ampicillin,8,blacarb_2_identity,blacarb_2,identity,0.015697497874498367
strict,ampicillin,9,blacarb_2_coverage,blacarb_2,coverage,0.01390085369348526
strict,ampicillin,10,blatem_135_lineage_match,blatem_135,lineage_match,0.007178225088864565
strict,ampicillin,11,blatem_135_coverage,blatem_135,coverage,0.006149594206362963
strict,ampicillin,12,blatem_lineage_match,blatem,lineage_match,0.005709411576390266
strict,ampicillin,13,blatem_135_identity,blatem_135,identity,0.005550821777433157
strict,ampicillin,14,blaher_identity,blaher,identity,0.005205680150538683
strict,ampicillin,15,blatem_coverage,blatem,coverage,0.002495728898793459
strict,ampicillin,16,blatem_identity,blatem,identity,0.0019098701886832714
strict,ampicillin,17,blaher_lineage_match,blaher,lineage_match,0.001495611621066928
strict,ampicillin,18,blaher_coverage,blaher,coverage,0.0014099915279075503
strict,ampicillin,19,ramr_t18p_identity,ramr_t18p,identity,4.165122300037183e-05
strict,ampicillin,20,ramr_t18p_coverage,ramr_t18p,coverage,3.6586618080036715e-05
strict,cefoxitin,1,blatem_1_lineage_match,blatem_1,lineage_match,0.1440189778804779
strict,cefoxitin,2,blacarb_2_coverage,blacarb_2,coverage,0.14218002557754517
strict,cefoxitin,3,blatem_1_identity,blatem_1,identity,0.10575173795223236
strict,cefoxitin,4,blatem_1_coverage,blatem_1,coverage,0.10129937529563904
strict,cefoxitin,5,blacarb_2_identity,blacarb_2,identity,0.10095343738794327
strict,cefoxitin,6,blaher_3_identity,blaher_3,identity,0.10025680810213089
strict,cefoxitin,7,blatem_lineage_match,blatem,lineage_match,0.08070141822099686
strict,cefoxitin,8,blaher_3_coverage,blaher_3,coverage,0.0639166608452797
strict,cefoxitin,9,blatem_coverage,blatem,coverage,0.0403231717646122
strict,cefoxitin,10,blaher_3_lineage_match,blaher_3,lineage_match,0.03978213667869568
strict,cefoxitin,11,blaher_coverage,blaher,coverage,0.03123478963971138
