scope,method_family,rule_scope,Antibiotic,n_samples,n_susceptible,n_resistant,n_positive,n_negative,positive_label,positive_fraction,feature_count,zero_hit_rows,predicted_resistant,predicted_susceptible,accuracy,precision,recall,specificity,true_positive,true_negative,false_positive,false_negative,status
broad,rule_based,broad,amoxicillin-clavulanic acid,6159,5262,897,897,5262,resistant,0.14564052605942523,57,4351,1808,4351,0.8472154570547167,0.48783185840707965,0.9832775919732442,0.8240212846826301,882,4336,926,15,evaluated
broad,rule_based,broad,ampicillin,6810,4370,2440,2440,4370,resistant,0.35829662261380324,75,4367,2443,4367,0.9866372980910426,0.9807613589848547,0.9819672131147541,0.9892448512585812,2396,4323,47,44,evaluated
broad,rule_based,broad,cefoxitin,6715,5917,798,798,5917,resistant,0.11883842144452718,75,4352,2363,4352,0.7624720774385704,0.3313584426576386,0.981203007518797,0.7329727902653371,783,4337,1580,15,evaluated
broad,rule_based,broad,ceftiofur,3562,2854,708,708,2854,resistant,0.19876473891072433,39,2028,1534,2028,0.7624929814710837,0.455019556714472,0.9858757062146892,0.7070777855641205,698,2018,836,10,evaluated
broad,rule_based,broad,ceftriaxone,6807,5594,1213,1213,5594,resistant,0.17819891288379608,75,4365,2442,4365,0.8141618921698252,0.4893529893529894,0.9851607584501236,0.7770825884876653,1195,4347,1247,18,evaluated
broad,rule_based,broad,chloramphenicol,6730,6146,584,584,6146,resistant,0.08677563150074294,33,6147,583,6147,0.9980683506686479,0.9897084048027445,0.988013698630137,0.9990237552879921,577,6140,6,7,evaluated
broad,rule_based,broad,ciprofloxacin,6550,5951,599,599,5951,resistant,0.09145038167938932,39,5932,618,5932,0.996793893129771,0.9676375404530745,0.998330550918197,0.9966392202991093,598,5931,20,1,evaluated
broad,rule_based,broad,gentamicin,6459,5575,884,884,5575,resistant,0.13686329153119678,111,2427,4032,2427,0.5107601795943645,0.2177579365079365,0.9932126696832579,0.43426008968609864,878,2421,3154,6,evaluated
broad,rule_based,broad,kanamycin,2772,2304,468,468,2304,resistant,0.16883116883116883,60,1159,1613,1159,0.5761183261183261,0.28084314941103533,0.967948717948718,0.4965277777777778,453,1144,1160,15,evaluated
broad,rule_based,broad,nalidixic acid,6789,5974,815,815,5974,resistant,0.12004713507143909,60,5943,846,5943,0.992782442185889,0.9527186761229315,0.9889570552147239,0.9933043187144291,806,5934,40,9,evaluated
broad,rule_based,broad,streptomycin,6050,2850,3200,3200,2850,resistant,0.5289256198347108,111,2276,3774,2276,0.8895867768595042,0.8354531001589826,0.9853125,0.7821052631578947,3153,2229,621,47,evaluated
broad,rule_based,broad,sulfisoxazole,6558,3845,2713,2713,3845,resistant,0.4136931991460811,9,3844,2714,3844,0.9876486733760292,0.9848931466470154,0.985256173977147,0.9893368010403121,2673,3804,41,40,evaluated
broad,rule_based,broad,tetracycline,6780,1941,4839,4839,1941,resistant,0.713716814159292,21,1924,4856,1924,0.9898230088495575,0.9911449752883031,0.9946269890473238,0.9778464708912932,4813,1898,43,26,evaluated
broad,rule_based,broad,trimethoprim-sulfamethoxazole,6808,6494,314,314,6494,resistant,0.046122209165687426,45,3952,2856,3952,0.6263219741480611,0.109593837535014,0.9968152866242038,0.6084077610101633,313,3951,2543,1,evaluated
