scope,method_family,rule_scope,Antibiotic,n_samples,n_susceptible,n_resistant,n_positive,n_negative,positive_label,positive_fraction,feature_count,zero_hit_rows,predicted_resistant,predicted_susceptible,accuracy,precision,recall,specificity,true_positive,true_negative,false_positive,false_negative,status
strict,rule_based,strict,amoxicillin-clavulanic acid,6159,5262,897,897,5262,resistant,0.14564052605942523,24,5439,720,5439,0.7806462088001299,0.18472222222222223,0.14827201783723523,0.8884454580007601,133,4675,587,764,evaluated
strict,rule_based,strict,ampicillin,6810,4370,2440,2440,4370,resistant,0.35829662261380324,36,5457,1353,5457,0.8303964757709251,0.974870657797487,0.5405737704918033,0.9922196796338673,1319,4336,34,1121,evaluated
strict,rule_based,strict,cefoxitin,6715,5917,798,798,5917,resistant,0.11883842144452718,33,5382,1333,5382,0.7118391660461653,0.07351837959489872,0.12280701754385964,0.7912793645428426,98,4682,1235,700,evaluated
strict,rule_based,strict,ceftiofur,3562,2854,708,708,2854,resistant,0.19876473891072433,21,2640,922,2640,0.5951712521055587,0.1019522776572668,0.1327683615819209,0.7098808689558515,94,2026,828,614,evaluated
strict,rule_based,strict,ceftriaxone,6807,5594,1213,1213,5594,resistant,0.17819891288379608,33,5458,1349,5458,0.659468194505656,0.0904373610081542,0.10057708161582853,0.7806578476939579,122,4367,1227,1091,evaluated
strict,rule_based,strict,chloramphenicol,6730,6146,584,584,6146,resistant,0.08677563150074294,33,6147,583,6147,0.9980683506686479,0.9897084048027445,0.988013698630137,0.9990237552879921,577,6140,6,7,evaluated
strict,rule_based,strict,ciprofloxacin,6550,5951,599,599,5951,resistant,0.09145038167938932,39,5932,618,5932,0.996793893129771,0.9676375404530745,0.998330550918197,0.9966392202991093,598,5931,20,1,evaluated
strict,rule_based,strict,gentamicin,6459,5575,884,884,5575,resistant,0.13686329153119678,48,5480,979,5480,0.9784796408112711,0.8804902962206334,0.9751131221719457,0.9790134529147982,862,5458,117,22,evaluated
strict,rule_based,strict,kanamycin,2772,2304,468,468,2304,resistant,0.16883116883116883,9,2341,431,2341,0.9787157287157288,0.974477958236659,0.8974358974358975,0.9952256944444444,420,2293,11,48,evaluated
strict,rule_based,strict,nalidixic acid,6789,5974,815,815,5974,resistant,0.12004713507143909,60,5943,846,5943,0.992782442185889,0.9527186761229315,0.9889570552147239,0.9933043187144291,806,5934,40,9,evaluated
strict,rule_based,strict,streptomycin,6050,2850,3200,3200,2850,resistant,0.5289256198347108,45,2516,3534,2516,0.9279338842975207,0.8910582908885116,0.9840625,0.8649122807017544,3149,2465,385,51,evaluated
strict,rule_based,strict,sulfisoxazole,6558,3845,2713,2713,3845,resistant,0.4136931991460811,9,3844,2714,3844,0.9876486733760292,0.9848931466470154,0.985256173977147,0.9893368010403121,2673,3804,41,40,evaluated
strict,rule_based,strict,tetracycline,6780,1941,4839,4839,1941,resistant,0.713716814159292,21,1924,4856,1924,0.9898230088495575,0.9911449752883031,0.9946269890473238,0.9778464708912932,4813,1898,43,26,evaluated
strict,rule_based,strict,trimethoprim-sulfamethoxazole,6808,6494,314,314,6494,resistant,0.046122209165687426,45,3952,2856,3952,0.6263219741480611,0.109593837535014,0.9968152866242038,0.6084077610101633,313,3951,2543,1,evaluated
